Nickname,Defender Score,Attacker Score,Time (sec),Winner,Level
u20537183,8,5,103,Defender,Expert
u20537183,8,5,99,Defender,Expert
u20537183,8,5,93,Defender,Expert
u20537183,7,6,298,Defender,Beginner
u20537183,5,8,162,Attacker,Beginner
u20537183,5,8,156,Attacker,Beginner
u20537183,3,10,114,Attacker,Beginner
u20537183,5,8,104,Attacker,Beginner
BlackBook1,7,6,154,Defender,Expert
FoolMe,9,4,151,Defender,Expert
BrotherSleeves,9,4,132,Defender,Expert
LongSleeves,9,4,127,Defender,Expert
Bob,9,4,122,Defender,Expert
JenJen,10,3,109,Defender,Expert
BitLocker234,11,2,108,Defender,Expert
Password123,9,4,103,Defender,Expert
Phantom122,8,5,218,Defender,Beginner
BlackHawk,5,8,162,Attacker,Beginner
BitDefender,6,7,135,Attacker,Beginner
Stephan,7,6,59,Defender,Expert
Stephan,6,7,191,Attacker,Beginner
Stephan,6,7,95,Attacker,Beginner
Stephan,4,9,83,Attacker,Beginner
Stephan,6,7,78,Attacker,Beginner
Stephan,5,8,72,Attacker,Beginner
Stephan,5,8,66,Attacker,Beginner
Stephan,4,8,63,Attacker,Beginner
Stephan,6,7,62,Attacker,Beginner
Stephan,4,9,60,Attacker,Beginner
Stephan,4,8,55,Attacker,Beginner
Herold Jones,10,3,155,Defender,Expert
Troy Bolton,8,5,139,Defender,Expert
PhoenixWrightKing,7,6,132,Defender,Expert
ToddHowardKiller,7,6,104,Defender,Expert
Unicorn Power,7,6,97,Defender,Expert
Troy Bolton,8,5,88,Defender,Expert
Unicorn Power,7,6,172,Defender,Intermediate
ToddHowardKiller,8,5,294,Defender,Beginner
FalconPunch,10,3,205,Defender,Beginner
PhoenixWrightKing,6,7,156,Attacker,Beginner
Herold Jones,5,8,135,Attacker,Beginner
u20801859,10,3,141,Defender,Expert
u20801859,7,6,137,Defender,Expert
u20801859,13,0,129,Defender,Expert
u20801859,7,6,197,Defender,Intermediate
u20801859,7,6,166,Defender,Intermediate
u20801859,4,9,613,Attacker,Beginner
U20801859,6,7,270,Attacker,Beginner
u20801859,8,5,214,Defender,Beginner
u20801859,7,6,211,Defender,Beginner
u20801859,6,7,172,Attacker,Beginner
u20801859,6,7,168,Attacker,Beginner
Tyron Kendall,7,6,332,Defender,Beginner
Tyron Kendall,5,8,159,Attacker,Beginner
u21441104,5,8,90,Attacker,Beginner
u21441104,6,7,70,Attacker,Beginner
u21441104,6,7,58,Attacker,Beginner
u21441104,5,8,47,Attacker,Beginner
u21441104,3,10,46,Attacker,Beginner
u21441104,6,7,45,Attacker,Beginner
u21441104,6,7,44,Attacker,Beginner
u21441104,4,9,37,Attacker,Beginner
Participant3_3,9,4,126,Defender,Expert
Participant3_2,9,4,95,Defender,Expert
Participant3_1,8,5,85,Defender,Expert
Participant1_1,6,7,428,Attacker,Beginner
Participant2_1,10,3,280,Defender,Beginner
Participant1_2,7,6,222,Defender,Beginner
Participant1_3,6,7,217,Attacker,Beginner
Participant4_1,2,11,187,Attacker,Beginner
Participant2_3,6,7,185,Attacker,Beginner
Participant4_2,6,6,145,Draw,Beginner
Participant2_2,3,10,144,Attacker,Beginner
Nish,8,5,131,Defender,Expert
Nish,8,5,114,Defender,Expert
Nish,11,2,101,Defender,Expert
Nish,7,6,98,Defender,Expert
Nish,8,5,92,Defender,Expert
Nish,5,8,233,Attacker,Beginner
Nish,5,8,166,Attacker,Beginner
Nish,6,7,112,Attacker,Beginner
Nish,6,7,112,Attacker,Beginner
Nish,6,7,109,Attacker,Beginner
Nish,6,7,104,Attacker,Beginner
Luqmaan_u21473359,7,6,1090,Defender,Beginner
u21473359,6,7,195,Attacker,Beginner
u2147559,5,8,166,Attacker,Beginner
Luqmaan_u21473359,5,7,114,Attacker,Beginner
u21473359,6,7,99,Attacker,Beginner
Luqmaan_u21473359,4,8,120,Attacker,Beginner
Luqmaan_u21473359,5,7,100,Attacker,Beginner
